Username,Username_Rating,Username_Review,Username_Verified,Username_Usefulness,Username_Date
Anon,4.0 out of 5 stars,"I love my headphones. They’re lightweight, they look nice, the sound quality is nice, and the noise cancellation is amazing. My only issue is that it’s uncomfortable. After a while of wearing mine, I’d get headaches. I’ve adjusted them so now I don’t think I get headaches anymore, but it does hurt to wear them after an extended period of time. I think it has to do with the thin headband. I’ve never had an issue with the cheaper headphones I used to use. I’ve considered getting the M5s instead because of this. I’m not sure if I have to keep adjusting or if I need more time to get used to the headphones. I’ve had them for about two weeks now. This is just something for you to keep in mind if you decide to buy.",Verified Purchase,One person found this helpful,"Reviewed in the United States on February 3, 2023"
M. J. Lomenzo,5.0 out of 5 stars,I had an older pair of Sony headphones before these at half the price. These are a huge upgrade. It is absolutely worth the money and very easy to setup with Bluetooth. I use them primarily to listen to vinyl records and the sound is incredible. Volume control is swipe up down on the right headphone fyi. You can download the song headphone app to adjust bass treble etc also but I think the balance and brightness of sound is perfect as is. Go buy these you will hear the difference. A+,Verified Purchase,,"Reviewed in the United States on February 8, 2023"
John Hudnall,5.0 out of 5 stars,"This is truly amazing. First, they fit perfectly over my ears and are so comfortable
Second, The sound quality is awesome. Third, the features are excellent. I can set it so if I need to hear people talking I can, or set it to hear only whatever I am listening to. I really like all the features of these headphones.
Honestly, this is the best headphones I have ever purchased. Well worth the cost.
They fold and have an amazing case to carry them in as well.",Verified Purchase,,"Reviewed in the United States on February 14, 2023"
Amazon Customer,5.0 out of 5 stars,"The product was well packed and arrived in good condition.
Product Review:
Pros:
1. noise cancellation is great
2. sound quality is good.
3. Covers ears perfectly
4. Adjustments are good
5. Charges fast
Cons:
1. The speech recognition feature is slow and not as seemless, its good if you are travelling in transit and it pauses for announcements. It will pause if you try to sing out loud, which is annoying. You have option to switch that off from sony headphones app.",Verified Purchase,,"Reviewed in the United States on February 17, 2023"
Chloe,4.0 out of 5 stars,"I love these headphones, they’re a great alternative to Apple air maxs but the only issue was getting them to pair to my phone. I tried all day and was so frustrated that I even almost returned them but then I looked it up on YouTube and it was so helpful. Only turning them on doesn’t work, to turn them on hold the power button for 2 seconds but to get them to pair to a new device first turn them on like normal but then hold the power button for an additional 5-8 seconds once they’re on to put them in pairing mode. Other than that the quality is amazing! The noise cancellation works so well.",Verified Purchase,,"Reviewed in the United States on February 10, 2023"
dekim,4.0 out of 5 stars,"Bought these for my partner, who adores them for their light weight, comfortable fit, good touch controls, good quality voice pickup for video calls, and excellent noise-cancelling ability. I like them because we can talk - they just palm the right earcup to activate pass-through mode. Or, if we need a longer chat, they can pull off the headphones which automatically pauses the music. This has drastically reduced the number of annoyed looks I get. Win-win!
Out of the box, the sound quality on these cans is decent but the headphones are more bass-heavy. The low end sounds a little “muddy”. There is an EQ adjustment in the accompanying Sony app, but after downloading it, quickly uninstalled it because the software demanded a lot of personal information. We'd rather rather live with the just-tolerable sound profile than give up all that information to Sony. One star off, Sony, for being just a bit too greedy and not respecting privacy; the app should come with no strings attached, especially given the cost of these headphones.",Verified Purchase,3 people found this helpful,"Reviewed in the United States on January 10, 2023"
Joshua,5.0 out of 5 stars,"The noise cancelation is really good. Like really good. But there are a couple complaints. They won't always block the same amount of noise, so if you live in a semi noisy environment, that really changes the way you look at these headphones. You can hear when the quality of this feature specifically, drops or rises. A really simple fix though, just turn the volume up a little more. Then it really is just you and the music. The transparency mode I felt just slightly let down. It can be better. Speak to chat is much more powerful which upsets me because it's like you don't even have headphones on. You end up wanting that kind of immersion on demand when it's only attainable through the speak/hold to chat features. Of course when those are enabled, the volume of your music gets reduced HEAVILY, so you can hear what's going on. If you're just turning on ambient noise, you might find it muddy or just not as clear as you'd expect or want. An amazing feature with ambient noise though, is you can control how much noise comes through. This helps me a lot because if you are feeling overwhelmed by your environment, you can just turn it down or shut it off completely. I guess you can say you have a lot of choices between complete isolation, and near perfect immersion. The pros, in my opinion, really overpower the cons. The sound quality is amazing. You can expect crisp, clear, quality audio with insane customization. The separation and sound staging are quite precise I'd say, and with the app you can have practically unlimited bass while still maintaining crisp, prominent highs, that do not interrupt or drown out the mids. Of course the amount of depth these headphones have can only make you dream of what more they may be capable of. I absolutely love the equalizer because now you have such a range with your listening experience, you can resonate with music on so many different levels using the equalizer. These headphones are built for every genre of music BECAUSE they're so precise and customizable as far as sound goes. That's a massive plus, interpreting a song differently because you changed the way it sounded. The smaller drivers do not in any way take from the sound quality. They sound like quality headphones, and the volume control is consistent. The sound quality does not change until about maybe 90-100%. They fit nice, but I wish the design were more like travel headphones where you fold the cups into themselves. They feel very durable, especially the headband. The touch sensors are nice too, but I wish you could use both cups instead of one, so you can customize what taps do what. Overall, they were worth the money. They're for everyone, however you listen, and whatever you listen to. Your preference in sound can be a lot more precise using these headphones. I mean, they really make it hard to say another pair is better. I have grown a lot with these headphones, musically speaking. There are no boundaries in the world of music, and there certainly are not limitations to reach that boundless world inside these headphones.",Verified Purchase,38 people found this helpful,"Reviewed in the United States on September 10, 2022"
S. Meghji,5.0 out of 5 stars,"So I got these to go along with my new Walkman after being unimpressed with the Bose 700’s audio quality when connected to a system with an actual audio processor.
My god.
I haven’t had this good of an audio experience in decades. Coupled with the new advanced walkmen I feel like I’ve got a studio wrapped around my head. I cannot recommend them enough for audio quality.
Please spend the $350 on one of these new walkmen and try out lossless. You won’t be disappointed.
Plane test coming up. Will update if needed.",Verified Purchase,,"Reviewed in the United States on February 3, 2023"
Kevin,5.0 out of 5 stars,These headphones are some of the best that I have had. Granted I know that there are other more expensive than these ones but I am blown away by how dynamic they are and how amazing they sound. The app for it makes it easy to use and connect to other devices but it is one of the best purchases I have made. What a great product Sony!,Verified Purchase,,"Reviewed in the United States on February 22, 2023"
Vanessa,5.0 out of 5 stars,"I’ve had it for a few months now and it’s one of my most prized possessions. I bought a pair of Bose headphones before this one. I prefer the noise cancellation that Bose has, but I wanted them specifically for listening to music and Sony is where it’s at in that aspect. I love music and it’s a big part of my life. These headphones are perfect!",Verified Purchase,,"Reviewed in the United States on February 16, 2023"
Mr. R,4.0 out of 5 stars,"Cons:
- I cannot turn off system sounds. I don't need a bell in my ears when blue tooth connects.
- I ordered a used set off amazon warehouse, the case left indents on the ear muffs. However 5 minutes of use fixed that, and I fixed the case. I saved ~$150.
- The case is huge.
- It does not come with travel, air plane adaptors.
- The phones are slow to connect fedora (linux)
Pros:
- Great sound. It is not hi res audiophile good, but it is not far off either.
- Noise cancelling is great
I have PTSD and random system sounds really hurt me. I tried the Sennheiser Momentum 4 and could not use them for this reason. The alerts really bothered me. I wish I could turn the system sounds off completely. The Sony's are less terrible in this regard.",Verified Purchase,2 people found this helpful,"Reviewed in the United States on January 3, 2023"
NICK,5.0 out of 5 stars,"I was using Airpod pros for awhile and they started to become a little clunky and the bluetooth was chopping while using on non apple devices. They were also not the best noise canceling for louder environments (airports, coffee shops).
These new Sony headphones are amazing. I can mute out most surrounding noise and the clarity of sound / my voice on video calls is top notch. Also, they have all these cool little features that make them convenient. e.g. you can hold your hand on the right ear muff to apply ambient noise... or you can just start talking when no audio is on and it does the same.
My only disappointment is I didn't buy these earlier.",Verified Purchase,One person found this helpful,"Reviewed in the United States on January 26, 2023"
Nagisa11,5.0 out of 5 stars,"I have been using Sony noise canceling earbuds for the last couple of years. I own both the XM3 and XM4 models and I have come to really love both the sound quality and the extra features Sony has packed them. Fast bear on android is amazing, it works without any effort. The first time you turn it on or if you turn it on in pairing mode a picture of the headphones will pop up on a nearby android device and you just click connect, it is as simple as connecting air pods to an iPhone.
Onto these headphones, they are exceptional. Battery life is amazing, but that is to be expected from any premium wireless over your headphones.
The touch controls have a bit of a learning curve, but they are for the most part very good (I have one issue with them, but I will get to that later).
The noise cancelling is amazing of course, but what is more impressive is the improvements made to transparency mode. It no longer picks up background noise from fans and cars as much as it used to. Support for Spotify tap means you can launch Spotify, and have it pick up where you left off without even touching your phone.
The new safe listening feature tells you if you are listening to music at unsafe levels for too long. It keeps track of how much time you listen at various decibel levels so it can tell you if you have been listening too much.
Sound quality is of course very good. Also, Sony's EQ is not the best, but for most people it is more than sufficient. If you like a bit more or less base you can adjust all of that very easily, and it comes with several presets.
The issues:
I have had three issues with my headphones so far. The first one was a strange bug where it identified to my phone as the FCC registered model number instead of as WH 1000 XM5 with a reset after a firmware update.
The next issue is that I have not been able to get it to register with Google's find my device service, it is not a huge deal for me especially because I am less likely to leave the headphones somewhere that I am something smaller like earbuds, but it seems like that can be a bit hit or miss.
The last issue is one that I alluded to earlier, and it is with the touch controls. These headphones do not have a physical Google assistant or any digital assistant button, instead you either say the wake word, or press and hold on the radio until you hear a tone. There is a strange bug when I tried to reply to a text that the Google assistant just read to me. It records my reply, but then says to push the Google assistant button to send or press and hold to record the message. You cannot push the Google assistant button, or you can do is press and hold which will just record the message so you cannot send your reply. However, this does not seem to be an issue when you just try to send a text, only when you reply so it is not the end of the world.
Well, that ended up being longer than I thought it would. I hope someone has found this helpful because I just spent far too long writing it.",Verified Purchase,33 people found this helpful,"Reviewed in the United States on July 2, 2022"
Givi Dochviri,4.0 out of 5 stars,"I will start with the sound quality and it is magnificent! 5 out of 5.
As for video/voice calls it is not so great. it can easily isolate my voice from the background voice, however if the is another colleagues talking clearly next to me everyone on the call can hear him/her as well. so during busy day when several different calls happen in the same room I have to mute myself when I'm not talking. I had Cisco 730 which does voice isolation perfectly, during calls even if someone is talking right next to me only my voice goes through.",Verified Purchase,,"Reviewed in the United States on January 22, 2023"
JWH,5.0 out of 5 stars,"The Sony headphone is the best for both noise cancelling functionality as well as intuitive controls. It allows you to carry on conversations by pausing the noise cancelling function, the right headphone controls sound lsvel, forward and back, and they are super light. Battery life is excellent and the carrying case is functional and sturdy.",Verified Purchase,,"Reviewed in the United States on February 17, 2023"
D Purdy,5.0 out of 5 stars,"I'm finding myself using these more than the other 2 pairs of headphones I have, including the Sennheiser HD560's. The ability to easily swap from ANC to normal hearing really helps in many situations. I sit next to my girl, watching TV and on my phone surfing the web at the same time. Dogs barking, kids crying, planes flying, all gone. Poof. The sound quality is superb with clean bass, really nice clear mids and good stereo separation during long listening sessions. Expensive, but worth every penny. Great purchase and very happy.",Verified Purchase,One person found this helpful,"Reviewed in the United States on February 4, 2023"
Anna Skenadore,3.0 out of 5 stars,"I have owned these for a little over a month now and have run into many problems. I use my headphones constantly so I needed something that would be able to have good audio quality, good call sound, good noise cancelling and somewhat functional. I really wanted to like these but unfortunately there were too many problems I ran into that weren’t user error or miseducation.
1. The adjustable ear pieces don’t stay. - I tend to readjust these everyday. They slide out further and further until they fall off my head no matter the activity I’m doing.
2. The touch controls are too sensitive. - This one I’m not sure if it’s just me, but I go through bouts of my headphones pausing/playing my music, activating Siri, turning the volume up and down all while not actually touching them. This tends to happen very fast as if water or something else were touching it. It could be my hair, my sweat or something else. I have tried cleaning them off and moving my hair away and I still continue to have this problem. It’s also difficult to hit the right spots on the ear piece all the controls. I end up pausing something when I’m trying to turn the volume up and down.
3. The audio quality tends to leave sometimes. - I can hear when my headphones need to be restarted. My phone calls will start to crackle and my volume won’t be as loud. It’s actually happened multiple times when I’ve been at full volume but the noise coming out of the headphones barely sounds like 3 notches.
4. Phone call quality not as advertised. - I purchased these because I use my headphones for calling because I use my hands a lot while working. I was under the impression my calls would sound clearer and sharper (for the other person) and the audio would focus on my voice a lot more than background noise. Background noise is picked HEAVILY and overpowers my voice while on the phone. I did not expect it to be perfect but for the price I still don’t want to step out of a room to take a phone call because of any background noise.
5. Charge Time - While I recognize the charge on these headphones doesn’t last as long as other brands, I still expect to not have to charge daily or every other day.
6. Noise cancellation - While it is actually very good, the ear pieces move once and no more noise cancellation.
I do have some pros as well, they aren’t all bad!
1. The controls are clear and very well set in the ear piece - I like not having to take out my phone constantly to use the controls and these headphones have all that.
2. They’re comfortable - I used to get headaches because of too small ear cushions. These ones fit over my ear very good and I don’t have headaches wearing headphones anymore.
3. They’re durable and transportable - I like the adjustable ear pieces and being able to turn them in and out. It’s easy for certain activities that are physical and I need to adjust. They don’t get in the way as often as headphones that don’t have this feature. I also tend to bump them less.
Overall, these have good qualities but I don’t believe they’re worth the price. I think you would be able to find over the ear, noise cancelling headphones with less glitches and issues for a cheaper price.",Verified Purchase,16 people found this helpful,"Reviewed in the United States on November 1, 2022"
David Case,5.0 out of 5 stars,"I went from using some Skullcandy crushers to these. Initially I did not like how they sounded so thankfully the app has an EQ that you can use to change the sound. They are so much more comfortable than my old headphones. Overall, I would recommend these headphones.",Verified Purchase,,"Reviewed in the United States on February 22, 2023"
Dr. Manuel Kuehner,5.0 out of 5 stars,"- I like the headphones!
- I had all generations since the 3rd generation (= 3rd, 4th, and now 5th).
- Modern design.
- I am surprised how fast you can re-charge the headphones: I measured 16 Watt charging power (similar to a flagship smartphone like Pixel 7 Pro).
- Not good for sports (sweating in ear area).
- I deactivated all automatic/adaptive settings.",Verified Purchase,,"Reviewed in the United States on February 10, 2023"
oldsoul,5.0 out of 5 stars,"Simple minded old soul here - my wife has Bose Quiet comfort 45 and I purchased these instead. Hands down Sony blows Bose away in all categories - noise cancellation, music quality (with a great app to adjust settings for t ypes of music, my music is spiritual and has a wide range from instrumental to vocals, and lastly I love the adaptive noise cancellation feature on these headphones. Bravo Sony, you kicked Bose's behind!",Verified Purchase,,"Reviewed in the United States on February 3, 2023"
Evan K.,5.0 out of 5 stars,These headphones are amazing just not enough bass. They will not completely cancel our people's talking but will do a really good job with everything else. Relatively comfortable and easy to use touch controls. Can sit in them for hours on end,Verified Purchase,,"Reviewed in the United States on February 19, 2023"
Alan Carratalá,5.0 out of 5 stars,"I'm not a music expert, but I do consider an audiophile as I listen to music extensively throughout the day. I have never spent more than $120 on earphones/headphones, but I wanted to know what ""expensive"" headphones would sound like. I purchased these right before they were released, and just in time because I would've bought the WH-1000XM4 instead. Here's my take:
I like my music LOUD. At first, the max volume on the headphones was annoyingly low. I then realized that the issue was that the headphones internal volume was linked to the phone volume, but it was not at the highest setting. I had to (on an Android phone) separate both volumes, then unpair the headphones. After this, I paired them again and set the phone volume to max. From there, I increased the volume on the headphones using the touch controls until they were at max (the headphones will tell you.) This was a tremendous change and I am now satisfied with the volume.
The bass on these headphones are great, but I like deeper bass, to where it should sound muddled, so these did not meet my expectations. However, the bass is really good and doesn't muddle the rest of the music.
The noise cancellation is incredible. There is a HUGE change in what you hear with and without the noise cancellation. It doesn't completely blot out voices (or a television) but with pop music on 30%, you won't be able to hear external noise. The ""see through"" mode (hear through) amplifies the sounds around you so you can hear them while you listen to music, but if your music volume is above 40%, you still won't hear anything from the outside, unless it's very loud.
The headphones (with the app) come with a cool feature where they stop playback and enable the ""hear-through"" mode so that you can talk to people without having to either take off the headphones or stop your music. It works well, unless you're like me and you sing the songs you listen to. The music WILL stop if the headphones hear you singing.
Another cool feature is that if you remove the left earcup, music playback stops. This is because the headphones detect that you have taken them off. It's not a new feature among earphone tech (I have sub $100 earphones that do the same) but it's a neat trick that is useful to some of us. It appears that the sensor is only on the left earcup because removing only the right earcup does not stop music playback.
All in all, I am quite happy with me $400 headphones. The case is sturdy and cool-looking and definitely feels like expensive quality. Battery life is great and charging time is impressive (40 minutes according to my measures).",Verified Purchase,18 people found this helpful,"Reviewed in the United States on August 17, 2022"
ArcherWrites,3.0 out of 5 stars,"I read a bunch of reviews and got these headphones because people were raving about them. I've had them for eight months or so now and wish i had gone with something else.
Pros: Good sound, comfortable when wearing.
Cons: Auto-shut off, difficult to maneuver for one-ear listening.
I've found that maybe I'm weird, but I often like to free an ear to listen to the room rather than the headphones. I began with the Sony app, which promised me all sorts of features, including ear sensing technology. In the end, I gave up on the app because any time I would remove one ear the entire system would stop playing. This sounds like a feature but it acts like a bug. If someone walks into the room and asks me a question, I generally pull off an ear so they can see that I'm listening. I know that noise-cancelling can be set so that I can hear people when wearing them, but again--I like to remove an ear. So, the system stops playing. I'd rather have a manual button that I can press. Maybe I'm old-school that way.
Also, and this may be nit-picking, but the bar feels too twisty; I'd prefer something more sturdy like on my trusty Sennheiser wired headphones. If I remove one ear on the Sonys, the entire apparatus slides down my head like warm molasses.
In the end, I guess my take is that the tech on these promises too many goodies and in the end just gets in the way of my usage. I'd love a Play/Stop button that isn't a weird tap (which, BTW, doesn't work very well). I'd love a thicker bar. I'd love to do away with ear-sensing tech. This is my second set of Sony headphones, though, so apparently I don't learn very quickly. I'm going to try some other manufacturers next time.",Verified Purchase,One person found this helpful,"Reviewed in the United States on January 30, 2023"
Javon,5.0 out of 5 stars,"First time buyer for anything involving Sony
I’m not disappointed at all, if your on the fence about these please get this head set the Bluetooth is instant on any device, if you want more bass learn how to use the EQ settings and they can give you some really nice sounds, the adaptive sound feature is great, anytime I go into a new room it’s analyzing it and adjusting properly
Bottom line get this headset",Verified Purchase,,"Reviewed in the United States on January 30, 2023"
Angus Norton,5.0 out of 5 stars,"I don't say this often, but these really are the best headphones i've owned. I worked for Sony many years ago in the early 90's so have alway been a fan, but have been using the AirPod max headphones for a while. Those headphone i now just use for watching TV on my Apple TV to keep my kid from hearing and waking up. The Apple headphones are so heavy compared to these, so these are my goto headphone for at work, and out and about.",Verified Purchase,One person found this helpful,"Reviewed in the United States on January 23, 2023"
Maribel,4.0 out of 5 stars,"Was thinking about the AirPod Max but heard really good reviews on the Sony 1000XM5s and had to try them myself. However, these were purchase for my gym trips and the first thing I read these headphones are not gym friendly. Womp Womp😭. But the sound quality and noise cancellation is perfect for my school trips so I’ll be keeping them.",Verified Purchase,One person found this helpful,"Reviewed in the United States on January 31, 2023"
Jester D,4.0 out of 5 stars,"Very Musical, balanced sound. True, spending a lot more money will get you better quality, but you would never travel with something that expensive. I tried the others and surprisingly liked this the best. I fly a lot and think these will be perfect for noisy airport and airplanes. The volume could be one setting louder, the noise cancelation 15 % better, but the sound quality and comfort makes these a great fit. I looked for something better, but decided to stay with these. There are a number of recommended Apps for these to enhance the sound experience, but these all have $$ subscriptions and in App purchases. I’m disappointed with that aspect. Buyer beware for those. Still great sonics.",Verified Purchase,,"Reviewed in the United States on December 22, 2022"
James D Tutton,5.0 out of 5 stars,I got these to upgrade our x1 and x2 sets we had for my wife and I. They are extremely lite and comfy. The sound is fantastic and the mic is perfect for calls and video. I had a dog snoring on my lap and nobody on the online meeting had a clue.,Verified Purchase,,"Reviewed in the United States on February 4, 2023"
TheRookie,4.0 out of 5 stars,"Noise cancellation is top tier no doubt about it when I'm commuting in the city or on a train. Be very careful though as I believe they cancel too much and you might potentially be in trouble if you're not aware of your surroundings. Sound is absolutely amazing especially with the EQ. One thing that worries me are the ear cups, they should've added more cushion towards them and made them just a bit more spacious as overtime it tends to hurt my ears when I have them on for longer than an hour. Great product would recommend if you can afford it",Verified Purchase,,"Reviewed in the United States on January 9, 2023"
mariah kemmerer,4.0 out of 5 stars,"These are fantastic headphones, and I loved them. Great sound quality, solid materials, great connectivity and range, but I have to return them. Like all other Sony over-ear headphones I've purchased they're too big for my head. I was so optimistic that at this price point they'd have a better fit range, but no. The improper fit causes jaw pain, ear pain, and just general uncomfortableness. I can't wear them for longer than an hour before I need a break. Which is not the case with my wired Sennheisers. On the lowest setting the band is just too long, so the ear cups hang too low and then they don't feel tight enough and jiggle around.
To be fair I don't have a tiny head, it's an average size for a women and other brands fit me fine. If you have a big head or probably an average male sized head you'd fit them fine.
Would recommend if you normally fit Sony's sizing.",Verified Purchase,2 people found this helpful,"Reviewed in the United States on December 6, 2022"
Steven H.,4.0 out of 5 stars,"I got a set of these headphones even though I already had a set of the last generation WH-1000XM4s. I just decided I wanted a second pair. So, I can say comparing directly to the XM4s there is very little improvement. The sound quality might be slightly better on the XM5s, a little wider sound stage maybe. But you have to listen really carefully to catch the difference. If I had my eyes closed and someone randomly put the XM4 or XM5 on my head, I would not be able to reliably determine which ones they were.
That said... the sound quality is really good. I'm not audiophile, but of the sub $500 headphone category, to me these are the best sounding headphones available.
Noise canceling is amazing. Between the simply noise isolation of the headphones then the active noise cancelling there is very little outside noise audible when I'm listening to music on these headphones. I've used them on an airplane and nearly all air plane noises are cancelled out.
The comfort however could still be improved. Like the XM4s IMO, extended listening starts to feel uncomfortable. The pressure is a little to much on the top of the head and around the ears. I have to adjust the head phones to sit at a slightly different angle every few minutes.
Battery life is excellent. I haven't used them long enough in one sitting to actually get them low on battery. I've used them for over 6 hours continuously without recharging and that is with ANC on.",Verified Purchase,4 people found this helpful,"Reviewed in the United States on October 24, 2022"
David in CA,5.0 out of 5 stars,"I bought these and Bose QC45 as internet reviews rated them both highly. I returned the Bose because they didn't stay on my head during normal movement. That may not be your case. Otherwise, both have good noise reduction, good sound and similar adjustments once you do a download from each mfgr. There is also software apps for both that are crucial for full feature use. Bose has physical buttons for most controls while Sony has a touchpad that uses finger swipes. I also decided on Amazon Music as my upgraded streaming source. very pleased with that choice too. It's so much more than the basic free version.",Verified Purchase,,"Reviewed in the United States on January 12, 2023"
Amazon Customer,5.0 out of 5 stars,"I bought these specifically for work to drown out all of the side conversations in my office. I have zero complaints and this was probably my best purchase of 2022. The noise canceling is great and the sound quality is clean. I like that these have adaptive features based on what I'm doing or my surroundings, and I can talk to others without taking them off if. I read about seeing fingerprints on these in black so opted for the silver. But I gravitated towards the silver anyways because I tend to prefer neutral muted tones.",Verified Purchase,,"Reviewed in the United States on January 14, 2023"
Zahid Aliyev,5.0 out of 5 stars,"This is an amazing product and definitely my favorite pair of headphones. However, and this is a big one, sometimes there are problems with connections. I use this headphone to listen to the content on my tv as well, and did not have any problems before but this is not the case now. I cannot seem to connect the headphones to the TV at all. Every time I try to connect them, my headphones make this weird noise and get disconnected automatically. I have another pair of headphones and they can connect to the TV with no problem. But I really want to use the Sony considering how great they are and the amount of money I spent for it. I am not sure what to do here and the return window is closed. I have initialized the headphones to factory settings and all that, so please do not recommend anything like that. If anyone can help with this, I would highly appreciate it. Thank you in advance. I do believe these headphones come with a 1 year warranty which I still have but Sony website is a really hard one to navigate.",Verified Purchase,5 people found this helpful,"Reviewed in the United States on December 16, 2022"
Tyler,4.0 out of 5 stars,"I've really enjoyed these headphones and find it difficult to take them off. I was stuck on either getting the XM4s or these and ended up with these as they were basically the same price with the Prime Deal.
The appearance of the XM5s ultimately made me decide to get these rather than the XM4s, but there is one important drawback I got from these: I can't wear these around my neck comfortably. They fold outward for no listed reason, so I'd have the ear cups rest on my collarbone. The way around this in which I found it the most comfortable would be wearing them above my ear, which is kind of obnoxious in my eyes, but it was the most comfortable position if I didn't want them on my ears.
They are super comfortable and I find myself about to fall asleep with them on. Doing activities such as school work with the active noise cancelling helped me get so much work done with little to no distractions. Using them at the gym hasn't really been a hassle, as I'd wear a hoodie to protect them from sweat. The music quality is superb and I haven't noticed any distortion from higher levels of music.
The things that would really drift me away, especially at this hefty price point would be:
The lack of any water resistance on the headphones
The ear cups not being able to rotate inwards or fold into themselves
Touch pad gestures should be able to be customized
But other than the features listed above, they may cater towards you, but the XM4s are generally similar if not better than the XM5s.",Verified Purchase,2 people found this helpful,"Reviewed in the United States on October 18, 2022"
Donald Hauck,5.0 out of 5 stars,"After a long product review using Youtube, I decided on this headset. I looked at the Apple Airpods Pro, and although they are great headsets I believe the Sony headset to be better. I have an iPhone and run a Mac mini, and they work very well with them. I'm still able to use Siri with them. When you look at the price of the Airpod Pro it was a no-brainer. Even if the Airpod Pros were the same price as the Sony's I still would buy the Sony headset.",Verified Purchase,One person found this helpful,"Reviewed in the United States on January 18, 2023"
Diwi,4.0 out of 5 stars,"Really good headphones! The only thing I would note is that it is not made for working out. The fit is not tight so if you workout and tend to do a lot of movement, this is not for you. Its also not water proof or water resistant so be careful with sweat as well. Other than that the noise cancelling and the easy access control are all nice",Verified Purchase,,"Reviewed in the United States on January 18, 2023"
Jesus,5.0 out of 5 stars,It’s great but if you have an iPhone like me it’s a bit difficult to get used to it.Light weight and very comfy sound quality is great once you customize it.I can wear these all day!,Verified Purchase,,"Reviewed in the United States on February 13, 2023"
Amazon Customer,5.0 out of 5 stars,"It honestly took me a little bit to appreciate the audio quality difference between these headphones and my AirPods, cause they both sound great, but after a week or so the difference is night and day, they sound amazing!!",Verified Purchase,,"Reviewed in the United States on February 12, 2023"
Roger,5.0 out of 5 stars,"I bought these looking for better ANC. Up until now I’ve just bought cheap Monoprice headphones and the noise cancelling was laughable.
This morning my wife walked out and said “Who was at the door?” I said “what do you mean?”
She said some guy rang the doorbell a few times and was yelling at our front door. I was sitting on the couch 5ft from the front door playing with the EQ on the headphones app. Didn’t hear a THING.
So A+ on the noise cancellation.
And I am fine with the touch panel for volume control etc.
I’m also a big fan of the speak to chat function. (If I start talking, ANC automatically swaps to transparency mode.)",Verified Purchase,,"Reviewed in the United States on December 31, 2022"
Carrie C,5.0 out of 5 stars,"These really are amazing headphones! They are soft and comfortable, great sound quality, and the noise cancellation is unmatched. I don't use them to take calls but I am okay with that personally.",Verified Purchase,,"Reviewed in the United States on February 11, 2023"
Jazz,4.0 out of 5 stars,I have heard really good things about these headphones! I’m glad I purchased them just wish I was sent the right color🙄,Verified Purchase,,"Reviewed in the United States on February 11, 2023"
Amazon_user_666,5.0 out of 5 stars,"These work so well. Noise cancellation is fantastic. Very lightweight and comfortable for long sessions. Sound quality is great. Microphones work great. Battery is good. App works well. These are expensive as hell, but worth it if you have the money to spend.",Verified Purchase,,"Reviewed in the United States on February 5, 2023"
GAVIN THOMAS NICOL,5.0 out of 5 stars,"I bought these for a trip to Japan and I must say the noise cancellation and sound quality are excellent. After activating noise cancellation all the background noise drops away and you can hear the audio you are listening to very, very well. Having used a number of other headphones I have to say these re the best I've ever used. The only downside to these is that the headband is IMHO too narrow so it puts pressure on your head. The older Sony headphones had wider bands and were more comfortable.",Verified Purchase,One person found this helpful,"Reviewed in the United States on January 16, 2023"
